id,title,original_language,overview,poster_path,genre_ids,popularity,release_date,vote_average,vote_count
752,V for Vendetta,en,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,"[28, 53, 878]",36.661,2006-02-23,7.898,13849
604,The Matrix Reloaded,en,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",/9TGHDvWrqKBzwDxDodHYXEmOE6J.jpg,"[12, 28, 53, 878]",39.579,2003-05-15,7.0,10400
73686,In Darkness,de,"A dramatization of one man's rescue of Jewish refugees in the Nazi-occupied Polish city of Lvov. In Darkness tells the true story of Leopold Soha who risks his own life to save a dozen people from certain death. Initially only interested in his own good, the thief and burglar hides Jewish refugees for 14 months in the sewers of the Nazi-occupied town of Lvov (formerly Poland).",/cRm30D0tBvMLXjtoKuaUteBZ4nv.jpg,"[18, 10752]",10.808,2011-09-15,7.059,169
65760,The Whistleblower,en,"Nebraska cop Kathryn Bolkovac discovers a deadly sex trafficking ring while serving as a U.N. peacekeeper in post-war Bosnia. Risking her own life to save the lives of others, she uncovers an international conspiracy that is determined to stop her, no matter the cost.",/iIVcea2BHHi7RJgucGEmpt3zkED.jpg,"[18, 53, 80]",12.718,2010-09-13,6.755,515
537347,Viking Destiny,en,"A Viking Princess is forced to flee her kingdom after being framed for the murder of her father, the King. Under the guidance of the God Odin, she travels the world gaining wisdom and building the army she needs to win back her throne.",/oHPPUlwR4UNOGe1ne68kawiGOed.jpg,"[12, 28, 14]",7.086,2018-07-26,5.2,47
178290,The Punk Singer,en,"A look at the life of activist, musician, and cultural icon Kathleen Hanna, who formed the punk band Bikini Kill and pioneered the ""riot grrrl"" movement of the 1990s.",/cZroPc3jpZXGHNVYV453runyHlZ.jpg,"[99, 10402]",8.778,2013-11-29,7.147,78
626592,Catherine Opie b. 1961,en,Catherine Opie shares the emotional and political motivations for her provocative and influential photography.,/gZm6UpA2SwsuzUExFsHzUDg8Xzm.jpg,[99],0.6,2019-06-27,0.0,0
44012,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",fr,"A lonely widowed housewife does her daily chores and takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. Slowly, her ritualized daily routines begin to fall apart.",/yeL8c24oBUQSdms8f7GmRvx3DIZ.jpg,[18],15.899,1976-01-21,7.4,254
93934,Je Tu Il Elle,fr,A woman suffers a subdued psychological breakdown in the wake of a devastating breakup.,/4arnTs41WSLWsnENWdljFKo0pu1.jpg,"[18, 10749]",6.277,1974-12-31,6.4,66
86814,News from Home,fr,"Belgian filmmaker Chantal Akerman lives in New York. Filmed images of the City accompany texts of Akerman's loving mother back home in Brussels. The City comes more and more to the front while the words of the mother, read by Akerman herself, gradually fade away.",/nWqWaEySdo8hAKJsd1IS9mdnZpF.jpg,[99],4.827,1977-05-20,7.3,58
32196,"Dance, Girl, Dance",en,"Judy O'Brien is an aspiring ballerina in a dance troupe. Also in the company is Bubbles, a brash mantrap who leaves the struggling troupe for a career in burlesque. When the company disbands, Bubbles gives Judy a thankless job as her stooge. The two eventually clash when both fall for the same man.",/1gJuUG7SeVAbhmO9qXvkEVKY3Pq.jpg,"[18, 10402, 10749, 35]",5.772,1940-08-30,6.357,56
81107,Merrily We Go to Hell,en,"A drunken newspaperman, Jerry Corbett, is rescued from his alcoholic haze by an heiress, Joan Prentice, whose love sobers him up and encourages him to write a play, but he lapses back into dipsomania.",/9w9wH5wIiyWGVgwAnAotfedOzIf.jpg,"[35, 18, 10749]",5.777,1932-06-10,6.609,32
37581,Christopher Strong,en,A romance develops between a happily married middle-aged British politician and an adventurous young aviatrix.,/jhPBTEHlgw4xONmNxdJzWRuugMm.jpg,[18],3.839,1933-03-09,6.18,25
